292,305,373,353,1
280,299,406,368,1
300,316,388,348,1
280,305,391,366,1
284,305,393,366,1
298,311,346,345,1
292,305,377,355,1
297,312,388,359,1
281,300,391,365,1
300,312,356,351,1
283,301,365,361,1
296,310,357,353,1
276,302,416,375,1
295,309,391,354,1
293,309,380,355,1
296,312,388,351,1
295,314,381,346,1
287,307,380,354,1
293,309,377,356,1
293,304,382,361,1
284,306,406,358,1
287,304,396,356,1
293,307,376,359,1
296,308,376,357,1
291,303,341,366,1
291,303,342,361,1
291,309,382,353,1
290,301,379,360,1
289,300,380,364,1
285,305,351,351,1
288,282,388,392,1
272,293,416,389,1
281,288,394,391,1
278,298,393,385,1
287,294,393,388,1
276,298,375,370,1
283,302,394,371,1
296,305,371,365,1
289,307,367,357,1
294,305,360,355,1
-2,647,283,292,2
0,644,310,295,2
-2,637,318,330,2
0,642,287,301,2
-1,646,296,329,2
1,649,285,292,2
7,701,286,238,2
8,648,282,290,2
-2,659,293,288,2
0,657,289,281,2
-1,651,294,296,2
-2,652,289,284,2
2,652,285,292,2
-1,649,291,289,2
-2,645,295,301,2
-2,640,298,321,2
0,619,323,350,2
-1,641,305,338,2
-1,645,290,305,2
0,645,292,299,2
0,648,283,294,2
-1,652,290,291,2
0,647,287,294,2
-1,648,290,293,2
0,646,293,303,2
0,650,299,299,2
-2,647,286,300,2
0,645,288,304,2
3,650,295,303,2
-1,646,280,323,2
3,641,271,311,2
8,650,301,304,2
1,643,293,321,2
-2,647,287,322,3
291,655,379,161,3
276,662,401,158,3
286,668,387,129,3
286,659,379,154,3
288,659,378,146,3
267,663,410,159,3
273,653,406,174,3
292,664,347,140,3
293,666,359,148,3
287,652,376,155,3
302,663,365,146,3
280,664,397,148,3
281,663,387,145,3
283,662,388,142,3
285,659,386,142,3
291,662,375,140,3
287,664,379,139,3
273,657,395,141,3
295,661,371,145,3
285,660,388,142,3
282,660,390,147,3
290,659,344,148,3
272,660,404,151,3
295,650,368,162,3
276,653,410,163,3
278,657,402,154,3
282,656,394,156,3
282,658,391,160,3
284,662,392,148,3
283,656,387,152,3
289,659,380,146,3
280,655,394,150,3
284,657,342,145,3
289,668,341,129,3
284,658,371,151,3
285,657,367,151,3
286,661,364,145,3
292,660,359,140,3
284,657,370,157,3
292,799,370,145,4
288,795,379,175,4
294,805,381,139,4
287,799,379,172,4
290,802,341,140,4
290,805,345,137,4
293,800,376,141,4
279,795,396,173,4
282,805,388,152,4
280,796,404,162,4
283,785,397,197,4
289,796,395,180,4
292,801,377,146,4
287,793,389,166,4
294,797,381,156,4
288,798,381,152,4
290,800,378,145,4
288,803,384,140,4
292,802,376,137,4
292,800,382,143,4
286,798,397,140,4
286,804,379,139,4
289,797,383,147,4
287,806,379,133,4
289,804,383,143,4
287,803,387,143,4
294,795,374,148,4
287,796,379,142,4
277,797,411,156,4
272,800,402,150,4
284,796,395,159,4
284,795,397,161,4
285,798,398,166,4
672,651,282,252,5
672,652,307,297,5
669,647,313,295,5
673,650,292,293,5
672,650,311,293,5
680,654,280,281,5
670,651,299,290,5
673,652,302,292,5
670,644,299,309,5
674,648,287,298,5
687,651,279,275,5
686,650,261,291,5
677,634,291,305,5
679,631,277,301,5
672,652,293,290,5
675,655,251,255,5
678,652,298,267,5
668,650,307,276,5
667,647,318,260,5
666,645,309,276,5
671,653,293,254,5
667,647,292,287,5
676,647,288,280,5
680,649,274,265,5
673,649,276,260,5
676,657,297,271,5
670,649,303,280,5
677,667,276,256,5
672,649,295,281,5
669,651,306,282,5
672,650,245,263,5
667,651,300,275,5
675,653,283,292,5
675,646,273,278,5
288,664,368,151,3
280,663,371,155,3
